,City,Country,Lat,Lng,Hotel Name
378,shimanovsk,,52.0,127.7,Tayezhnaya
379,shar,,49.59,81.05,
380,praia da vitoria,,14.92,-23.51,Hotel VIP Praia
381,kalkar,,51.73,6.3,Landhaus Beckmann
382,moranbah,,-22.0,148.05,Direct Hotels - Monterey Moranbah
383,koulamoutou,,-1.13,12.47,Auberge Mignet
384,pacasmayo,,-7.4,-79.57,HOTEL Los Faroles
385,reconquista,,-29.15,-59.65,Hotel Ychoalay Caz
386,guymon,,36.68,-101.48,Best Western Plus Guymon Hotel & Suites
387,namibe,,-15.2,12.15,Hotel ibis Styles Iu Namibe
388,ust-kuyga,,70.02,135.6,
389,anshun,,26.25,105.93,DoubleTree by Hilton Hotel Anshun
390,ponazyrevo,,58.36,46.31,
391,vao,,-22.67,167.48,OURE TERA beach resort
392,ous,,60.91,61.52,
393,mayo,,38.89,-76.51,
394,ancud,,-41.87,-73.82,Panamericana Hotel Ancud
395,anori,,-3.77,-61.64,Hotel Central
396,lasa,,46.62,10.7,Untertelshof
397,yar-sale,,66.83,70.83,"Hotel ""Nord House"""
398,tual,,-5.67,132.75,Grand Vilia Hotel
399,hope mills,,33.67,-93.59,Holiday Inn Express Hope
400,mount gambier,,53.66,-1.85,Manor House Lindley
401,pedernales,,18.04,-71.74,Hotel Vista de las Águilas
402,florence,,43.77,11.25,Hotel Machiavelli Palace
403,kanye,,-24.97,25.33,Warm Hands Hotel
404,kimbe,,-5.55,150.14,Liamo Reef Resort - Kimbe International Hotel
405,alvarado,,18.77,-95.77,Hotel Boutique Vistahermosa
406,walajapet,,12.93,79.38,Elite Inn (Muthu's)
407,trincomalee,,8.57,81.23,Alfresco Beach Hotel
408,jiaonan,,35.88,119.98,Detai Hotel
409,pisco,,-13.7,-76.22,Hotel San Jorge Residencial
410,novikovo,,51.15,37.89,
411,bay roberts,,43.73,-84.02,Huron Trail Motel
412,daru,,-9.08,143.21,Daru hotel
413,talnakh,,69.49,88.4,Talnakh Hotel
414,betioky,,-23.72,44.38,Betioky
415,weston,,26.1,-80.4,Bonaventure Resort & Spa
416,uray,,60.12,64.78,Hotel Pioner
417,tandil,,-37.32,-59.13,Hotel Roma Tandil
418,coos bay,,43.17,-124.0,
419,camacha,,33.08,-16.33,Hotel Porto Santo & Spa
420,lorengau,,-2.02,147.27,Seeadler Bay Hotel
421,chadiza,,-14.07,32.44,Chadiza Guest House
422,vestmanna,,62.16,-7.17,Budget Guesthouse Borgustova
423,yakeshi,,49.28,120.73,Qianhao Hotel
424,mayya,,61.73,130.28,
425,diamantino,,-14.41,-56.45,KAYABI PALACE HOTEL E RESTAURANTE
426,lesozavodsk,,45.48,133.42,Hotel Chelyuskina
427,golub-dobrzyn,,53.11,19.05,Zamek Golubski
428,kavieng,,-2.57,150.8,Nusa Island Retreat
429,grand gaube,,38.88,-109.5,
430,bonthe,,7.53,-12.51,Bonthe Holiday Village
431,diofior,,14.18,-16.67,Ecolodge de Simal
432,nurota,,40.56,65.69,Guest House Ruslan Nurata & Tours
433,rosetta,,31.4,30.42,Mecca Hotel
434,hun,,29.13,15.95,Al Nakhel Hotel
435,finschhafen,,-6.6,147.87,Cossam Guest House
436,grindavik,,63.84,-22.43,Mar Guesthouse
437,miles city,,35.19,-120.7,The Cliffs Hotel and Spa
438,srednekolymsk,,67.45,153.68,
439,dubbo,,-32.25,148.62,ibis budget Dubbo
440,grimshaw,,56.18,-117.6,Pomeroy Inn & Suites Grimshaw
441,poum,,-20.23,164.02,
442,praia,,14.92,-23.51,Hotel VIP Praia
443,yenagoa,,4.92,6.26,Aridolf Resort Wellness and Spa
444,langsa,,4.47,97.97,OYO 2598 Hotel Chocolate
445,yeppoon,,-23.13,150.73,Oshen Apartments Yeppoon
446,zabaykalsk,,49.63,117.32,
447,okhotsk,,59.38,143.3,
448,oranjemund,,-28.55,16.43,
449,itumba,,-9.4,33.18,
450,arman,,59.7,150.17,
451,keetmanshoop,,-26.58,18.13,Quiver Inn Guesthouse
452,beloha,,-25.17,45.05,
453,bougouni,,11.42,-7.48,Hotel Songhoï
454,pangkalanbuun,,-2.68,111.62,Grand Kecubung Hotel
455,ayton,,44.05,-80.92,
456,progreso,,21.28,-89.67,Playa Linda Hotel
457,altadena,,34.19,-118.13,Holiday Inn Express & Suites Pasadena - Los Angeles
458,zyryanka,,65.75,150.85,
459,port-cartier,,50.03,-66.87,Le Q'Artier
460,alekseyevsk,,57.84,108.35,
461,sedona,,34.87,-111.76,Sedona Rouge Hotel and Spa Trademark Collection by Wyndham
462,nalvo,,16.81,120.51,
463,komsomolskiy,,40.43,71.72,Hotel Mehmon Saroy
464,isangel,,-19.55,169.27,Tanna Ikamir Bungalows and Accommodation
465,qandala,,11.47,49.87,
466,pontianak,,-0.03,109.33,Mercure Pontianak City Center
467,esmeraldas,,-19.76,-44.31,Parque do Avestruz Hotel Fazenda
468,westerland,,54.91,8.3,Sylter Domizil
469,morondava,,-20.28,44.28,Palissandre Cote Ouest resort & SPA
470,sembe,,1.65,14.58,
471,tera,,14.01,0.75,Hotel Daressalam Téra
472,springfield,,37.22,-93.3,Holiday Inn & Suites Springfield - I-44
473,liverpool,,53.41,-2.98,Hard Days Night Hotel
474,voi,,-3.39,38.56,Voi Wildlife Lodge
475,neuquen,,-38.95,-68.06,Hotel del Comahue
476,zeya,,53.75,127.27,Hotel North Pearl
477,innisfail,,-17.53,146.03,Goondi Hill Hotel
478,barreirinha,,-2.79,-57.07,Hotel Camila
479,kedrovyy,,56.17,91.82,
480,yumen,,40.28,97.2,
481,capoeiras,,-8.73,-36.63,Pousada Pão de Mel
482,antalaha,,-14.9,50.28,Villa-Malaza
483,ayan,,56.45,138.17,Gostinitsa
484,ilam,,26.92,87.92,OYO 595 Hotel Green View
485,cayenne,,4.93,-52.33,Royal Amazonia
486,ixtapa,,20.7,-105.2,Flamingo Vallarta Hotel & Marina
487,san patricio,,13.3,-4.9,Hôtel Teriya
488,birao,,10.28,22.79,
489,sergeyevka,,53.88,67.42,
490,esna,,25.29,32.55,Dahabeya Queen Farida Sailing Boat - Esna/Aswan 5 Nights
491,nhulunbuy,,-12.23,136.77,Walkabout Lodge & Tavern
492,timbiqui,,2.77,-77.67,"Hotel Terranova, Timbiquí"
493,hami,,42.8,93.45,Haoli Business Hotel
494,maniitsoq,,65.42,-52.9,Hotel Maniitsoq
495,carndonagh,,55.25,-7.27,Riversdale Country House
496,nizhniy kuranakh,,45.39,39.24,
497,bilma,,18.69,12.92,
498,fort nelson,,52.65,6.39,Hotel Restaurant Ter Linde
499,yarim,,14.3,44.38,فندق القمة
500,coquimbo,,-29.95,-71.34,Apart Hotel Cabaña
501,yangambi,,0.81,24.43,
502,pangoa,,-12.12,-73.0,
503,port blair,,-7.03,29.76,
504,aksu,,41.12,80.26,Pudong Holiday Hotel
505,shingu,,33.73,135.98,Gran Hotel
506,arrifes,,37.77,-25.7,Hotel Talisman
507,myra,,45.44,12.13,Hotel Villa Franceschi
508,chumikan,,54.72,135.31,Fortuna
509,flin flon,,48.5,6.66,
510,villa rica,,46.2,10.13,Hostel Castle Tirano / BB
511,wiarton,,44.74,-81.13,The Spirit Rock Outpost & Lodge
512,manggar,,-2.88,108.27,OYO 515 Oasis Hotel
